name,smiles,n_carbons
gen_001_C12,CC(C)CCCCCCCCCOC(=S)[S-],12
gen_002_C11,CC(C)CCCCCCCCOC(=S)[S-],11
gen_003_C10,CC(C)CCCCCCCOC(=S)[S-],10
gen_004_C9,CC(C)CCCCCCOC(=S)[S-],9
gen_005_C8,CC(C)CCCCCOC(=S)[S-],8
gen_006_C7,CC(C)CCCCOC(=S)[S-],7
gen_007_C6,CC(C)CCCOC(=S)[S-],6
gen_008_C12,CCC(C)CCCCCCCCOC(=S)[S-],12
gen_009_C11,CCC(C)CCCCCCCOC(=S)[S-],11
gen_010_C10,CCC(C)CCCCCCOC(=S)[S-],10
gen_011_C9,CCC(C)CCCCCOC(=S)[S-],9
gen_012_C8,CCC(C)CCCCOC(=S)[S-],8
gen_013_C7,CCC(C)CCCOC(=S)[S-],7
gen_014_C6,CCC(C)CCOC(=S)[S-],6
gen_015_C5,CCC(C)COC(=S)[S-],5
gen_016_C12,CCC(CC)CCCCCCCOC(=S)[S-],12
gen_017_C11,CCC(CC)CCCCCCOC(=S)[S-],11
gen_018_C10,CCC(CC)CCCCCOC(=S)[S-],10
gen_019_C9,CCC(CC)CCCCOC(=S)[S-],9
gen_020_C8,CCC(CC)CCCOC(=S)[S-],8
gen_021_C7,CCC(CC)CCOC(=S)[S-],7
gen_022_C6,CCC(CC)COC(=S)[S-],6
gen_023_C12,CCCC(C)CCCCCCCOC(=S)[S-],12
gen_024_C11,CCCC(C)CCCCCCOC(=S)[S-],11
gen_025_C10,CCCC(C)CCCCCOC(=S)[S-],10
gen_026_C9,CCCC(C)CCCCOC(=S)[S-],9
gen_027_C8,CCCC(C)CCCOC(=S)[S-],8
gen_028_C7,CCCC(C)CCOC(=S)[S-],7
gen_029_C6,CCCC(C)COC(=S)[S-],6
gen_030_C12,CCCC(CC)CCCCCCOC(=S)[S-],12
gen_031_C11,CCCC(CC)CCCCCOC(=S)[S-],11
gen_032_C10,CCCC(CC)CCCCOC(=S)[S-],10
gen_033_C9,CCCC(CC)CCCOC(=S)[S-],9
gen_034_C8,CCCC(CC)CCOC(=S)[S-],8
gen_035_C7,CCCC(CC)COC(=S)[S-],7
gen_036_C12,CCCCC(C)CCCCCCOC(=S)[S-],12
gen_037_C11,CCCCC(C)CCCCCOC(=S)[S-],11
gen_038_C10,CCCCC(C)CCCCOC(=S)[S-],10
gen_039_C9,CCCCC(C)CCCOC(=S)[S-],9
gen_040_C8,CCCCC(C)CCOC(=S)[S-],8
gen_041_C7,CCCCC(C)COC(=S)[S-],7
gen_042_C12,CCCCC(CC)CCCCCOC(=S)[S-],12
gen_043_C11,CCCCC(CC)CCCCOC(=S)[S-],11
gen_044_C10,CCCCC(CC)CCCOC(=S)[S-],10
gen_045_C9,CCCCC(CC)CCOC(=S)[S-],9
gen_046_C12,CCCCCC(C)CCCCCOC(=S)[S-],12
gen_047_C11,CCCCCC(C)CCCCOC(=S)[S-],11
gen_048_C10,CCCCCC(C)CCCOC(=S)[S-],10
gen_049_C9,CCCCCC(C)CCOC(=S)[S-],9
gen_050_C8,CCCCCC(C)COC(=S)[S-],8
gen_051_C12,CCCCCC(CC)CCCCOC(=S)[S-],12
gen_052_C11,CCCCCC(CC)CCCOC(=S)[S-],11
gen_053_C10,CCCCCC(CC)CCOC(=S)[S-],10
gen_054_C9,CCCCCC(CC)COC(=S)[S-],9
gen_055_C12,CCCCCCC(C)CCCCOC(=S)[S-],12
gen_056_C11,CCCCCCC(C)CCCOC(=S)[S-],11
gen_057_C10,CCCCCCC(C)CCOC(=S)[S-],10
gen_058_C9,CCCCCCC(C)COC(=S)[S-],9
gen_059_C12,CCCCCCC(CC)CCCOC(=S)[S-],12
gen_060_C11,CCCCCCC(CC)CCOC(=S)[S-],11
gen_061_C10,CCCCCCC(CC)COC(=S)[S-],10
gen_062_C12,CCCCCCCC(C)CCCOC(=S)[S-],12
gen_063_C11,CCCCCCCC(C)CCOC(=S)[S-],11
gen_064_C10,CCCCCCCC(C)COC(=S)[S-],10
gen_065_C12,CCCCCCCC(CC)CCOC(=S)[S-],12
gen_066_C11,CCCCCCCC(CC)COC(=S)[S-],11
gen_067_C12,CCCCCCCCC(C)CCOC(=S)[S-],12
gen_068_C11,CCCCCCCCC(C)COC(=S)[S-],11
gen_069_C12,CCCCCCCCC(CC)COC(=S)[S-],12
gen_070_C12,CCCCCCCCCC(C)COC(=S)[S-],12
gen_071_C12,CCCCCCCCCCCCOC(=S)[S-],12
gen_072_C11,CCCCCCCCCCCOC(=S)[S-],11
