name,smiles,family,chain_length,branched,molwt,logp,tpsa,rot_bonds,homo_ev,lumo_ev,gap_ev,dipole_debye,scf_energy_hartree
methyl,COC(=S)[S-],xanthate,1,False,107.179,0.46459999999999996,9.23,0,-0.7909394690584713,3.223120799232304,4.014060268290776,4.715513162925743,-949.6869055537148
ethyl,CCOC(=S)[S-],xanthate,2,False,121.20600000000002,0.8547,9.23,1,-0.7999329411247077,2.9309059737651793,3.7308389148898877,6.491724986447802,-989.00632369821
n-propyl,CCCOC(=S)[S-],xanthate,3,False,135.233,1.2448,9.23,2,-0.8119083889753391,2.516140419873682,3.328048808849021,8.549661918625873,-1028.3208374052354
n-butyl,CCCCOC(=S)[S-],xanthate,4,False,149.26,1.6349,9.23,3,-0.8225988915874507,2.3164612643895395,3.13906015597699,10.759695128056515,-1067.6355651057577
n-amyl,CCCCCOC(=S)[S-],xanthate,5,False,163.287,2.025,9.23,4,-0.8287007674892056,2.099086656555546,2.9277874240447517,13.14079398278921,-1106.950400055847
n-hexyl,CCCCCCOC(=S)[S-],xanthate,6,False,177.314,2.4151000000000007,9.23,5,-0.8322717477452253,1.9378691344676546,2.77014088221288,15.633346199026379,-1146.265171466253
n-heptyl,CCCCCCCOC(=S)[S-],xanthate,7,False,191.341,2.805200000000001,9.23,6,-0.8671293528046566,1.957051701016388,2.8241810538210443,15.685255484294899,-1185.5806266898173
n-octyl,CCCCCCCCOC(=S)[S-],xanthate,8,False,205.36800000000002,3.1953000000000022,9.23,7,-0.8686900933819004,1.71396564931567,2.5826557426975705,17.45797376109623,-1224.893874843123
n-nonyl,CCCCCCCCCOC(=S)[S-],xanthate,9,False,219.395,3.5854000000000026,9.23,8,-0.8394445040956023,1.5598489851530248,2.399293489248627,23.02199417171965,-1264.2078463275423
n-decyl,CCCCCCCCCCOC(=S)[S-],xanthate,10,False,233.422,3.975500000000003,9.23,9,-0.8511257296202245,1.6132775643366126,2.464403293956837,23.326356112568018,-1303.5212780880265
isopropyl,CC(C)OC(=S)[S-],xanthate,3,True,135.233,1.2432,9.23,1,-0.8344114222512536,2.882250162620089,3.7166615848713427,7.2580963610876665,-1028.3244279180212
isobutyl,CC(C)COC(=S)[S-],xanthate,4,True,149.26,1.4908,9.23,2,-0.8531610752241399,2.4333477731084443,3.286508848332584,9.428668547014718,-1067.6370033414128
sec-butyl,CCC(C)OC(=S)[S-],xanthate,4,True,149.26,1.6333,9.23,2,-0.8639318076868359,2.796198429386531,3.6601302370733673,8.113751471017888,-1067.639390719892
isoamyl,CC(C)CCOC(=S)[S-],xanthate,5,True,163.287,1.8809,9.23,3,-0.8446489657069615,2.1872301636366376,3.031879129343599,12.057547957137588,-1106.94981168593
2-ethylhexyl,CCCCC(CC)COC(=S)[S-],xanthate,8,True,205.368,3.0512000000000015,9.23,6,-0.8961650141303117,2.076208672640596,2.972373686770908,14.564231930007852,-1224.891383282703
