name,smiles,homo_ev,lumo_ev,gap_ev,dipole_debye,scf_energy_hartree,elapsed_sec
methyl,COC(=S)[S-],-0.7909,3.2231,4.0140,4.7155,-949.686906,27.9
ethyl,CCOC(=S)[S-],-0.8000,2.9309,3.7309,6.4914,-989.006324,35.1
n-propyl,CCCOC(=S)[S-],-0.8117,2.5160,3.3277,8.5506,-1028.320838,48.0
n-butyl,CCCCOC(=S)[S-],-0.8226,2.3165,3.1390,10.7598,-1067.635565,86.9
n-amyl,CCCCCOC(=S)[S-],-0.8282,2.0990,2.9272,13.1422,-1106.950401,103.4
n-hexyl,CCCCCCOC(=S)[S-],-0.8322,1.9379,2.7701,15.6335,-1146.265171,152.3
n-heptyl,CCCCCCCOC(=S)[S-],-0.8671,1.9571,2.8243,15.6843,-1185.580627,200.1
n-octyl,CCCCCCCCOC(=S)[S-],-0.8684,1.7138,2.5822,17.4552,-1224.893876,417.3
n-nonyl,CCCCCCCCCOC(=S)[S-],-0.8394,1.5601,2.3995,23.0236,-1264.207847,498.8
n-decyl,CCCCCCCCCCOC(=S)[S-],-0.8508,1.6126,2.4635,23.3285,-1303.521280,848.2
isopropyl,CC(C)OC(=S)[S-],-0.8344,2.8823,3.7167,7.2581,-1028.324428,63.2
isobutyl,CC(C)COC(=S)[S-],-0.8534,2.4336,3.2870,9.4273,-1067.637003,132.7
sec-butyl,CCC(C)OC(=S)[S-],-0.8639,2.7962,3.6601,8.1138,-1067.639391,124.1
isoamyl,CC(C)CCOC(=S)[S-],-0.8447,2.1872,3.0319,12.0574,-1106.949812,166.3
2-ethylhexyl,CCCCC(CC)COC(=S)[S-],-0.8962,2.0762,2.9724,14.5643,-1224.891383,416.4
