name,smiles,n_carbons,branched,branch_distance,mol_weight,logp,tpsa,homo_ev,lumo_ev,gap_ev,dipole_debye,recovery,selectivity,desirability
methyl,COC(=S)[S-],1,0,-1,107.179,0.465,9.23,-0.7909,3.2231,4.0140,4.7155,0.2212,0.9277,0.453
ethyl,CCOC(=S)[S-],2,0,-1,121.206,0.855,9.23,-0.8000,2.9309,3.7309,6.4914,0.3948,0.8752,0.5878
n-propyl,CCCOC(=S)[S-],3,0,-1,135.233,1.245,9.23,-0.8117,2.5160,3.3277,8.5506,0.5321,0.7747,0.642
n-butyl,CCCCOC(=S)[S-],4,0,-1,149.26,1.635,9.23,-0.8226,2.3165,3.1390,10.7598,0.6389,0.6715,0.655
n-amyl,CCCCCOC(=S)[S-],5,0,-1,163.287,2.025,9.23,-0.8282,2.0990,2.9272,13.1422,0.7231,0.5435,0.6269
n-hexyl,CCCCCCOC(=S)[S-],6,0,-1,177.314,2.415,9.23,-0.8322,1.9379,2.7701,15.6335,0.7888,0.4214,0.5766
n-heptyl,CCCCCCCOC(=S)[S-],7,0,-1,191.341,2.805,9.23,-0.8671,1.9571,2.8243,15.6843,0.8384,0.3502,0.5419
n-octyl,CCCCCCCCOC(=S)[S-],8,0,-1,205.368,3.195,9.23,-0.8684,1.7138,2.5822,17.4552,0.88,0.234,0.4538
n-nonyl,CCCCCCCCCOC(=S)[S-],9,0,-1,219.395,3.585,9.23,-0.8394,1.5601,2.3995,23.0236,0.9125,0.1544,0.3754
n-decyl,CCCCCCCCCCOC(=S)[S-],10,0,-1,233.422,3.976,9.23,-0.8508,1.6126,2.4635,23.3285,0.9355,0.12,0.335
isopropyl,CC(C)OC(=S)[S-],3,1,0,135.233,1.243,9.23,-0.8344,2.8823,3.7167,7.2581,0.5613,0.8299,0.6825
isobutyl,CC(C)COC(=S)[S-],4,1,1,149.26,1.491,9.23,-0.8534,2.4336,3.2870,9.4273,0.6569,0.7002,0.6782
sec-butyl,CCC(C)OC(=S)[S-],4,1,0,149.26,1.633,9.23,-0.8639,2.7962,3.6601,8.1138,0.6539,0.7657,0.7076
isoamyl,CC(C)CCOC(=S)[S-],5,1,2,163.287,1.881,9.23,-0.8447,2.1872,3.0319,12.0574,0.7221,0.5668,0.6398
2-ethylhexyl,CCCCC(CC)COC(=S)[S-],8,1,1,205.368,3.051,9.23,-0.8962,2.0762,2.9724,14.5643,0.797,0.3026,0.4911
