name,smiles,n_carbons,branched,gap_ev,gap_source,recovery,selectivity,desirability
sec-butyl,CCC(C)OC(=S)[S-],4,1,3.6601,real_dft,0.6539,0.7657,0.7076
isopropyl,CC(C)OC(=S)[S-],3,1,3.7167,real_dft,0.5613,0.8299,0.6825
isobutyl,CC(C)COC(=S)[S-],4,1,3.287,real_dft,0.6569,0.7002,0.6782
gen_015_C5,CCC(C)COC(=S)[S-],5,1,3.2736,surrogate_predicted,0.72,0.6192,0.6677
n-butyl,CCCCOC(=S)[S-],4,0,3.139,real_dft,0.6389,0.6715,0.655
n-propyl,CCCOC(=S)[S-],3,0,3.3277,real_dft,0.5321,0.7747,0.642
isoamyl,CC(C)CCOC(=S)[S-],5,1,3.0319,real_dft,0.7221,0.5668,0.6398
n-amyl,CCCCCOC(=S)[S-],5,0,2.9272,real_dft,0.7231,0.5435,0.6269
gen_022_C6,CCC(CC)COC(=S)[S-],6,1,3.1555,surrogate_predicted,0.7615,0.5075,0.6217
gen_029_C6,CCCC(C)COC(=S)[S-],6,1,3.1555,surrogate_predicted,0.7615,0.5075,0.6217
gen_014_C6,CCC(C)CCOC(=S)[S-],6,1,2.9899,surrogate_predicted,0.7631,0.4703,0.599
ethyl,CCOC(=S)[S-],2,0,3.7309,real_dft,0.3948,0.8752,0.5878
n-hexyl,CCCCCCOC(=S)[S-],6,0,2.7701,real_dft,0.7888,0.4214,0.5766
gen_007_C6,CC(C)CCCOC(=S)[S-],6,1,2.8244,surrogate_predicted,0.7646,0.4334,0.5757
gen_035_C7,CCCC(CC)COC(=S)[S-],7,1,3.0374,surrogate_predicted,0.786,0.395,0.5572
gen_041_C7,CCCCC(C)COC(=S)[S-],7,1,3.0374,surrogate_predicted,0.786,0.395,0.5572
n-heptyl,CCCCCCCOC(=S)[S-],7,0,2.8243,real_dft,0.8384,0.3502,0.5419
gen_021_C7,CCC(CC)CCOC(=S)[S-],7,1,2.8718,surrogate_predicted,0.7876,0.36,0.5325
gen_028_C7,CCCC(C)CCOC(=S)[S-],7,1,2.8718,surrogate_predicted,0.7876,0.36,0.5325
gen_013_C7,CCC(C)CCCOC(=S)[S-],7,1,2.7063,surrogate_predicted,0.7892,0.3264,0.5076
2-ethylhexyl,CCCCC(CC)COC(=S)[S-],8,1,2.9724,real_dft,0.797,0.3026,0.4911
gen_050_C8,CCCCCC(C)COC(=S)[S-],8,1,2.9192,surrogate_predicted,0.7975,0.2926,0.4831
gen_006_C7,CC(C)CCCCOC(=S)[S-],7,1,2.5407,surrogate_predicted,0.7908,0.2946,0.4826
gen_034_C8,CCCC(CC)CCOC(=S)[S-],8,1,2.7537,surrogate_predicted,0.7991,0.2628,0.4582
gen_040_C8,CCCCC(C)CCOC(=S)[S-],8,1,2.7537,surrogate_predicted,0.7991,0.2628,0.4582
n-octyl,CCCCCCCCOC(=S)[S-],8,0,2.5822,real_dft,0.88,0.234,0.4538
methyl,COC(=S)[S-],1,0,4.014,real_dft,0.2212,0.9277,0.453
gen_020_C8,CCC(CC)CCCOC(=S)[S-],8,1,2.5882,surrogate_predicted,0.8007,0.2349,0.4337
gen_027_C8,CCCC(C)CCCOC(=S)[S-],8,1,2.5882,surrogate_predicted,0.8007,0.2349,0.4337
gen_012_C8,CCC(C)CCCCOC(=S)[S-],8,1,2.4226,surrogate_predicted,0.8024,0.2092,0.4097
gen_054_C9,CCCCCC(CC)COC(=S)[S-],9,1,2.8011,surrogate_predicted,0.799,0.2077,0.4074
gen_058_C9,CCCCCCC(C)COC(=S)[S-],9,1,2.8011,surrogate_predicted,0.799,0.2077,0.4074
gen_005_C8,CC(C)CCCCCOC(=S)[S-],8,1,2.2571,surrogate_predicted,0.804,0.1856,0.3863
gen_045_C9,CCCCC(CC)CCOC(=S)[S-],9,1,2.6356,surrogate_predicted,0.8007,0.1842,0.3841
gen_049_C9,CCCCCC(C)CCOC(=S)[S-],9,1,2.6356,surrogate_predicted,0.8007,0.1842,0.3841
n-nonyl,CCCCCCCCCOC(=S)[S-],9,0,2.3995,real_dft,0.9125,0.1544,0.3754
gen_033_C9,CCCC(CC)CCCOC(=S)[S-],9,1,2.4701,surrogate_predicted,0.8023,0.1629,0.3615
gen_039_C9,CCCCC(C)CCCOC(=S)[S-],9,1,2.4701,surrogate_predicted,0.8023,0.1629,0.3615
gen_019_C9,CCC(CC)CCCCOC(=S)[S-],9,1,2.3045,surrogate_predicted,0.8039,0.1436,0.3397
gen_026_C9,CCCC(C)CCCCOC(=S)[S-],9,1,2.3045,surrogate_predicted,0.8039,0.1436,0.3397
gen_061_C10,CCCCCCC(CC)COC(=S)[S-],10,1,2.683,surrogate_predicted,0.7931,0.1424,0.3361
gen_064_C10,CCCCCCCC(C)COC(=S)[S-],10,1,2.683,surrogate_predicted,0.7931,0.1424,0.3361
n-decyl,CCCCCCCCCCOC(=S)[S-],10,0,2.4635,real_dft,0.9355,0.12,0.335
gen_011_C9,CCC(C)CCCCCOC(=S)[S-],9,1,2.139,surrogate_predicted,0.8056,0.1262,0.3189
gen_053_C10,CCCCCC(CC)CCOC(=S)[S-],10,1,2.5175,surrogate_predicted,0.7947,0.1252,0.3154
gen_057_C10,CCCCCCC(C)CCOC(=S)[S-],10,1,2.5175,surrogate_predicted,0.7947,0.1252,0.3154
gen_004_C9,CC(C)CCCCCCOC(=S)[S-],9,1,1.9735,surrogate_predicted,0.8072,0.1107,0.2989
gen_044_C10,CCCCC(CC)CCCOC(=S)[S-],10,1,2.352,surrogate_predicted,0.7963,0.1098,0.2956
gen_048_C10,CCCCCC(C)CCCOC(=S)[S-],10,1,2.352,surrogate_predicted,0.7963,0.1098,0.2956
gen_032_C10,CCCC(CC)CCCCOC(=S)[S-],10,1,2.1864,surrogate_predicted,0.7979,0.096,0.2768
gen_038_C10,CCCCC(C)CCCCOC(=S)[S-],10,1,2.1864,surrogate_predicted,0.7979,0.096,0.2768
gen_066_C11,CCCCCCCC(CC)COC(=S)[S-],11,1,2.5649,surrogate_predicted,0.7813,0.0952,0.2728
gen_068_C11,CCCCCCCCC(C)COC(=S)[S-],11,1,2.5649,surrogate_predicted,0.7813,0.0952,0.2728
gen_018_C10,CCC(CC)CCCCCOC(=S)[S-],10,1,2.0209,surrogate_predicted,0.7995,0.0838,0.2589
gen_025_C10,CCCC(C)CCCCCOC(=S)[S-],10,1,2.0209,surrogate_predicted,0.7995,0.0838,0.2589
gen_060_C11,CCCCCCC(CC)CCOC(=S)[S-],11,1,2.3994,surrogate_predicted,0.7829,0.0831,0.2551
gen_063_C11,CCCCCCCC(C)CCOC(=S)[S-],11,1,2.3994,surrogate_predicted,0.7829,0.0831,0.2551
gen_072_C11,CCCCCCCCCCCOC(=S)[S-],11,0,2.1114,surrogate_predicted,0.9582,0.0654,0.2503
gen_010_C10,CCC(C)CCCCCCOC(=S)[S-],10,1,1.8554,surrogate_predicted,0.8011,0.0731,0.242
gen_052_C11,CCCCCC(CC)CCCOC(=S)[S-],11,1,2.2339,surrogate_predicted,0.7845,0.0725,0.2384
gen_056_C11,CCCCCCC(C)CCCOC(=S)[S-],11,1,2.2339,surrogate_predicted,0.7845,0.0725,0.2384
gen_003_C10,CC(C)CCCCCCCOC(=S)[S-],10,1,1.6898,surrogate_predicted,0.8028,0.0636,0.226
gen_043_C11,CCCCC(CC)CCCCOC(=S)[S-],11,1,2.0683,surrogate_predicted,0.7861,0.0631,0.2227
gen_047_C11,CCCCCC(C)CCCCOC(=S)[S-],11,1,2.0683,surrogate_predicted,0.7861,0.0631,0.2227
gen_069_C12,CCCCCCCCC(CC)COC(=S)[S-],12,1,2.4468,surrogate_predicted,0.7652,0.0625,0.2187
gen_070_C12,CCCCCCCCCC(C)COC(=S)[S-],12,1,2.4468,surrogate_predicted,0.7652,0.0625,0.2187
gen_031_C11,CCCC(CC)CCCCCOC(=S)[S-],11,1,1.9028,surrogate_predicted,0.7877,0.0548,0.2078
gen_037_C11,CCCCC(C)CCCCCOC(=S)[S-],11,1,1.9028,surrogate_predicted,0.7877,0.0548,0.2078
gen_065_C12,CCCCCCCC(CC)CCOC(=S)[S-],12,1,2.2813,surrogate_predicted,0.7668,0.0543,0.2041
gen_067_C12,CCCCCCCCC(C)CCOC(=S)[S-],12,1,2.2813,surrogate_predicted,0.7668,0.0543,0.2041
gen_071_C12,CCCCCCCCCCCCOC(=S)[S-],12,0,1.9457,surrogate_predicted,0.9746,0.0407,0.1993
